epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0316,1.40048,4.19394,1.41453,0.50298,0.68589,0.57478,0.36281,1.27544,1.68351,1.39104,0.000329114,0.000329114,0.000329114
2,23.1612,1.2476,1.32701,1.26189,0.60673,0.6912,0.67601,0.40719,1.29473,1.4675,1.42648,0.000660261,0.000660261,0.000660261
3,34.2511,1.28129,1.23937,1.29349,0.59405,0.58956,0.56812,0.35869,1.37847,1.71483,1.49144,0.000989208,0.000989208,0.000989208
4,45.3023,1.27677,1.21345,1.298,0.67896,0.63066,0.66314,0.40994,1.33192,1.2651,1.38717,0.0009901,0.0009901,0.0009901
5,56.3633,1.24549,1.16429,1.28811,0.71385,0.57593,0.5865,0.38228,1.38608,1.3422,1.49191,0.0009868,0.0009868,0.0009868
6,67.4057,1.23316,1.1032,1.28075,0.54615,0.58876,0.57709,0.39145,1.39636,1.33416,1.42156,0.0009835,0.0009835,0.0009835
7,78.4547,1.23229,1.06965,1.27375,0.7279,0.66296,0.72805,0.48197,1.23534,1.15065,1.32788,0.0009802,0.0009802,0.0009802
8,89.5346,1.21641,1.03344,1.26116,0.60421,0.7552,0.70864,0.45864,1.27958,1.11739,1.34904,0.0009769,0.0009769,0.0009769
9,100.572,1.21015,0.98463,1.25704,0.68337,0.76276,0.77058,0.51727,1.19798,1.06179,1.30224,0.0009736,0.0009736,0.0009736
10,111.666,1.19251,0.967,1.25623,0.66668,0.68973,0.70388,0.42851,1.32156,1.15927,1.41413,0.0009703,0.0009703,0.0009703
11,122.717,1.16187,0.93836,1.23829,0.70963,0.65954,0.72321,0.48204,1.23203,1.00881,1.31519,0.000967,0.000967,0.000967
12,133.782,1.1709,0.89498,1.23036,0.64425,0.74484,0.71811,0.48207,1.22447,0.98868,1.30373,0.0009637,0.0009637,0.0009637
13,144.831,1.16854,0.93101,1.23767,0.72701,0.73999,0.77689,0.4758,1.28755,1.07753,1.35888,0.0009604,0.0009604,0.0009604
14,155.893,1.14923,0.88223,1.20985,0.78911,0.76859,0.81902,0.53896,1.23157,0.92031,1.30834,0.0009571,0.0009571,0.0009571
15,167.005,1.13332,0.8566,1.20527,0.69905,0.77935,0.78318,0.49245,1.22401,0.99653,1.2869,0.0009538,0.0009538,0.0009538
16,178.064,1.1217,0.84641,1.20814,0.7515,0.75783,0.81396,0.54032,1.20201,0.87426,1.30747,0.0009505,0.0009505,0.0009505
17,189.13,1.12349,0.85605,1.21249,0.77653,0.78784,0.81718,0.54611,1.14682,0.90963,1.25022,0.0009472,0.0009472,0.0009472
